epoch,train_loss
1,15.057963495669158
2,13.825370456861412
3,13.179085109544838
4,12.69960353685462
5,12.345456330672555
6,12.030269456946332
7,11.891586967136549
8,11.690358037533967
9,11.562097964079484
10,11.39739990234375
11,11.215610670006793
12,11.118979412576426
13,11.041602093240488
14,10.9013439676036
15,10.879226684570312
16,10.85684469471807
17,10.71329000721807
18,10.674878991168478
19,10.624780406122623
20,10.4552526059358
21,10.447389022163723
22,10.42072926396909
23,10.353682144828465
24,10.296005912449049
25,10.304395592730978
26,10.230209350585938
27,10.099532417629076
28,10.065550430961277
29,9.95611107867697
30,10.017208596934443
31,9.971367877462637
32,9.843809044879416
33,9.879867553710938
34,9.758410909901494
35,9.751423711362092
36,9.712026181428328
37,9.643985914147418
38,9.62678859544837
39,9.608072695524797
40,9.63719774329144
41,9.534794019616168
42,9.531364772630775
43,9.529046763544498
44,9.489888066830842
45,9.440314251443613
46,9.42340552288553
47,9.345213516898777
48,9.276460067085598
49,9.277773649796195
50,9.23296588400136
51,9.253916201384172
52,9.218174809994904
53,9.26185939622962
54,9.254405146059783
55,9.18318972380265
56,9.176239013671875
57,9.146338421365488
58,9.058946692425272
59,9.060193269149117
60,8.965936411981998
61,9.00306104577106
62,8.971057394276494
63,9.020292199176291
64,8.905199133831522
65,8.948337720788043
66,8.953041408372963
67,8.915318364682404
68,8.875425919242527
69,8.834493222443953
70,8.907361237899117
71,8.899284694505775
72,8.793778792671535
73,8.786889117697012
74,8.86256276006284
75,8.80771139393682
76,8.745142397673234
77,8.694187993588654
78,8.716615759808084
79,8.762092922044838
80,8.68761344577955
81,8.632764069930367
82,8.607773490574049
83,8.641336192255435
84,8.528539906377377
85,8.625199027683424
86,8.612296726392662
87,8.621185966159986
88,8.593141638714334
89,8.523443470830502
90,8.539816151494565
91,8.525750865106998
92,8.504862246306047
93,8.53264452063519
94,8.484273495881453
95,8.499956877335258
96,8.50725853961447
97,8.471278315005096
98,8.508225150730299
99,8.418399313221807
100,8.372681327488111
101,8.366644154424252
102,8.329677415930707
103,8.35260009765625
104,8.344807500424592
105,8.322056645932404
106,8.219999893851902
107,8.27678912618886
108,8.237455948539402
109,8.284825864045516
110,8.295807548191236
111,8.218227220618207
112,8.246972788935123
113,8.243744559909986
114,8.22342648713485
115,8.156868312669838
116,8.19342041015625
117,8.230329430621603
118,8.203434156334918
119,8.229498821756113
120,8.123681773310123
